Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Bunschoten, 1996, 3559, 2599
Bunschoten, 2000, 3488, 2527
Bunschoten, 2003, 3488, 2506
Bunschoten, 2006, 3488, 2503
Bunschoten, 2008, 3488, 2491
Bunschoten, 2010, 3488, 2473
Bunschoten, 2012, 3481, 2466
Bunschoten, 2015, 3481, 2435
Buren, 1996, 6168, 5240
Buren, 2000, 14293, 11719
Buren, 2003, 14293, 11698
Buren, 2006, 14293, 11684
Buren, 2008, 14293, 11682
Buren, 2010, 14293, 11641
Buren, 2012, 14292, 11546
Buren, 2015, 14292, 11514
Bussum, 1996, 811, 42
Bussum, 2000, 811, 41
Bussum, 2003, 811, 43
Bussum, 2006, 811, 40
Bussum, 2008, 811, 40
Bussum, 2010, 811, 40
Bussum, 2012, 815, 41
Bussum, 2015, 815, 41
Capelle aan den IJssel, 1996, 1552, 115
Capelle aan den IJssel, 2000, 1541, 93
Capelle aan den IJssel, 2003, 1542, 76
Capelle aan den IJssel, 2006, 1542, 73
Capelle aan den IJssel, 2008, 1542, 72
Capelle aan den IJssel, 2010, 1542, 64
Capelle aan den IJssel, 2012, 1540, 64
Capelle aan den IJssel, 2015, 1540, 63
Castricum, 1996, 3582, 839
Castricum, 2000, 3582, 828
Castricum, 2003, 5992, 2367
Castricum, 2006, 5992, 2354
Castricum, 2008, 5992, 2349
Castricum, 2010, 5992, 2346
Castricum, 2012, 6040, 2329
Castricum, 2015, 6040, 2319
Coevorden, 1996, 4061, 3068
Coevorden, 2000, 29968, 23645
Coevorden, 2003, 29968, 23494
Coevorden, 2006, 29968, 23442
Coevorden, 2008, 29968, 23393
Coevorden, 2010, 29968, 23096
Coevorden, 2012, 29969, 23081
Coevorden, 2015, 29969, 22950
Cranendonck, 1996, NaN, NaN
Cranendonck, 2000, 7814, 3800
Cranendonck, 2003, 7814, 3780
Cranendonck, 2006, 7814, 3776
Cranendonck, 2008, 7814, 3772
Cranendonck, 2010, 7814, 3752
Cranendonck, 2012, 7805, 3739
Cranendonck, 2015, 7805, 3713
Cromstrijen, 1996, 7031, 4780
Cromstrijen, 2000, 7031, 4773
Cromstrijen, 2003, 7031, 4738
Cromstrijen, 2006, 7031, 4724
Cromstrijen, 2008, 7031, 4720
Cromstrijen, 2010, 7031, 4637
Cromstrijen, 2012, 7033, 4628
Cromstrijen, 2015, 7033, 4599
Cuijk, 1996, 5700, 4104
Cuijk, 2000, 5700, 3912
Cuijk, 2003, 5700, 3733
Cuijk, 2006, 5700, 3675
Cuijk, 2008, 5700, 3682
Cuijk, 2010, 5700, 3662
Cuijk, 2012, 5707, 3706
Cuijk, 2015, 5707, 3685
Culemborg, 1996, 3118, 2068
Culemborg, 2000, 3118, 1930
Culemborg, 2003, 3118, 1920
Culemborg, 2006, 3118, 1895
Culemborg, 2008, 3118, 1868
Culemborg, 2010, 3118, 1905
